Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
Expanded_industrialLight02Red,blocks,Light,,,Red Industrial Light,
Expanded_ceilingLight02,blocks,Light,,,Silver Dome Light,
Expanded_ceilingLight02Brass,blocks,Light,,,Brass Dome Light,
Expanded_ceilingLight04,blocks,Light,,,Warehouse Ceiling Light,
Expanded_ceilingLight05,blocks,Light,,,Silver Glass Light,
Expanded_ceilingLight05Brass,blocks,Light,,,Brass Glass Light,
Expanded_sconce1Light,blocks,Light,,,Sconce Light,
Expanded_sconce1LightShadow,blocks,Light,,,"Sconce Light, Shadows",
Expanded_deskLampLight,blocks,Light,,,Desk Lamp,
Expanded_tableLampLight,blocks,Light,,,Table Lamp,
Expanded_ceilingFanLight,blocks,Light,,,Ceiling Fan Light,
Expanded_signExitLight,blocks,Light,,,Exit Sign,
Expanded_endTableLamp,blocks,Block,,,End Table Lamp,
Expanded_xRayDisplayLight1,blocks,Block,,,X-Ray Display Light 1,
Expanded_xRayDisplayLight2,blocks,Block,,,X-Ray Display Light 2,
Expanded_workLightPOI,blocks,Light,,,Work Light,
Expanded_commercialDoor1_v1,blocks,Door,,,Commercial Door 1,
Expanded_commercialDoor1_v2,blocks,Door,,,Commercial Door 1 v2,
Expanded_commercialDoor1_v3,blocks,Door,,,Commercial Door 1 v3,
Expanded_commercialDoor2_v1,blocks,Door,,,Commercial Door 2,
Expanded_commercialDoor2_v2,blocks,Door,,,Commercial Door 2 v2,
Expanded_commercialDoor2_v3,blocks,Door,,,Commercial Door 2 v3,
Expanded_commercialDoor4_v1,blocks,Door,,,Commercial Door 4,
Expanded_commercialDoor4_v2,blocks,Door,,,Commercial Door 4 v2,
Expanded_commercialDoor4_v3,blocks,Door,,,Commercial Door 4 v3,
Expanded_houseFrontDoor1_v1,blocks,Door,,,House Front Door 1,
Expanded_houseFrontDoor1_v2,blocks,Door,,,House Front Door 1 v2,
Expanded_houseFrontDoor1_v3,blocks,Door,,,House Front Door 1 v3,
Expanded_houseFrontDoor2_v1,blocks,Door,,,House Front Door 2,
Expanded_houseFrontDoor2_v2,blocks,Door,,,House Front Door 2 v2,
Expanded_houseFrontDoor2_v3,blocks,Door,,,House Front Door 2 v3,
Expanded_doorFrameMetal1,blocks,Door,,,Door Frame Metal 1,
Expanded_doorFrameMetal2,blocks,Door,,,Door Frame Metal 2,
Expanded_doorFrameMetalBoarded1,blocks,Door,,,Door Frame Metal 1 Boarded,
Expanded_doorFrameMetalBoarded2,blocks,Door,,,Door Frame Metal 2 Boarded,
Expanded_doorFrameWhite1,blocks,Door,,,Door Frame White 1,
Expanded_doorFrameWhite2,blocks,Door,,,Door Frame White 2,
Expanded_doorFrameWhiteBoarded1,blocks,Door,,,Door Frame White 1 Boarded,
Expanded_doorFrameWhiteBoarded2,blocks,Door,,,Door Frame White 2 Boarded,
Expanded_doorTrimTop,blocks,Door,,,Door Trim Top,
Expanded_doorTrim2m,blocks,Door,,,Door Trim 2m,
Expanded_doorTrim1m,blocks,Block,,,Door Trim 1m,
Expanded_doorTrimHalfm,blocks,Block,,,Door Trim Half Meter,
